lon,lat,area,poi
118.247,24.2167,ZZ,FJD05001
117.9981,23.955,ZZ,FJD05002
117.9167,23.65,ZZ,FJD05008
117.7983,23.8161,ZZ,FJD05022
117.6557,23.3087,ZZ,FJN05018
118.1339,24.2922,ZZ,FJS0604
118.1667,24.2,ZZ,FJS0605
118.0314,24.1547,ZZ,FJS0607
117.9114,24.0519,ZZ,FJS0608
118.65,24.25,XM,FJD04006
118.86,24.5158,QZ,FJD03006
117.5969,23.5461,ZZ,FJD05005
117.57,23.7233,ZZ,FJD05009
118.203,24.0179,ZZ,FJD05021
117.7205,23.6839,ZZ,FJD05023
118.1484,23.7343,ZZ,FJD05025
117.6917,23.8417,ZZ,FJD05026
117.4555,23.6186,ZZ,FJD05027
117.4667,23.4667,ZZ,FJN05016
117.2545,23.4982,ZZ,FJN05017
117.6858,23.8611,ZZ,FJS0610
117.6506,23.8558,ZZ,FJS0611
117.6218,23.7407,ZZ,FJS0614
117.5119,23.7019,ZZ,FJS0615
117.4883,23.6825,ZZ,FJS0616
117.4978,23.6628,ZZ,FJS0617
117.2192,23.5722,ZZ,FJS0620
117.4322,23.5669,ZZ,FJS0621
117.3011,23.5653,ZZ,FJS0622
118.472,24.364,XM,FJD04002
118.1942,24.3431,XM,FJD04003
118.3817,24.275,XM,FJD04004
118.2583,24.3917,XM,FJS0207
118.8139,24.8211,QZ,FJD03002
119.0011,24.7172,QZ,FJD03003
118.9964,24.9283,QZ,FJD03007
119.08,24.8758,QZ,FJD03010
119,24.8667,QZ,FJD03011
118.87,24.7783,QZ,FJD03013
118.75,24.7167,QZ,FJD03015
118.6931,24.6339,QZ,FJD03019
119.01,25.0719,QZ,FJS0502
118.8719,24.8719,QZ,FJS0504
118.76,24.79,QZ,FJS0506
118.7627,24.721,QZ,FJS0507
118.7142,24.675,QZ,FJS0508
118.6597,24.6381,QZ,FJS0510
118.6758,24.6378,QZ,FJS0511
118.688,24.5543,QZ,FJS0513
118.9333,24.8603,QZ,FJS0516
118.0531,24.4719,XM,FJD04001
118.0717,24.5233,XM,FJD04009
118.2167,24.5,XM,FJD04011
118.1975,24.5439,XM,FJD04012
118.1919,24.4453,XM,FJD04013
118.2275,24.528,XM,FJS0204
118.0081,24.4219,ZZ,FJD05011
118.0681,24.4083,ZZ,FJS0602
119.6442,25.5008,FZ,FJD01018
119.54,25.3144,FZ,FJD01030
119.6128,25.3279,FZ,FJS0112
119.6761,25.43,ND,FJD01025
119.6767,25.4506,ND,FJS0113
119.6533,25.5667,ND,FJS0117
119.2083,25.1517,PT,FJD02003
119.0081,25.11,PT,FJD02004
119.075,24.99,PT,FJD02006
119.4214,25.1789,PT,FJD02007
119.175,25.0889,PT,FJD02012
118.9661,25.2339,PT,FJD02015
118.9517,25.2267,QZ,FJS0304
119.8869,26.075,FZ,FJD01003
119.9333,26.2833,FZ,FJD01008
119.8992,26.395,FZ,FJD01010
119.8017,26.25,FZ,FJD01014
119.821,26.0068,FZ,FJD01032
119.7903,26.5391,FZ,FJS0101
119.8114,26.4858,FZ,FJS0102
119.975,26.4,FZ,FJS0118
119.8819,26.4861,ND,FJD10007
119.9778,26.5778,ND,FJD10025
120.125,26.5,ND,FJD10026
120.0453,26.5733,ND,FJS0919
120.0896,26.5305,ND,FJS0920
119.3525,25.5372,FZ,FJS0107
119.2497,25.48,FZ,FJS0108
120.3978,27.1856,ND,FJD10001
120.1667,26.6667,ND,FJD10008
119.3831,25.2514,PT,FJS0303
120.45,27.1667,ND,FJD10012
120.2917,26.6667,ND,FJD10020
120.1798,26.8207,ND,FJD10032
120.1514,26.8189,ND,FJS0908
118.9491,25.2485,PT,FJD02014
119.0264,25.1939,PT,FJS0305
119.0194,25.1434,PT,FJS0306
120.1885,26.8832,ND,FJD10002
120.5719,26.8389,ND,FJD10003
120.7167,26.5167,ND,FJD10009
120.5,27.155,ND,FJD10010
121,27,ND,FJD10011
120.55,27.1333,ND,FJD10013
120.55,27,ND,FJD10014
120.4,26.8556,ND,FJD10016
120.7397,26.7155,ND,FJD10033
120.7497,26.9856,ND,FJD10034
120.4795,26.5154,ND,FJD10035
120.3277,26.9245,ND,FJS0904
120.3561,26.3311,FZ,FJD01001
119.6667,26.1133,FZ,FJD01002
119.6667,25.8667,FZ,FJD01004
120.02,25.8189,FZ,FJD01005
120.3667,25.9833,FZ,FJD01009
119.7333,25.9,FZ,FJD01015
119.7256,25.75,FZ,FJD01016
120.0517,26.0401,FZ,FJD01029
119.8205,26.1417,FZ,FJD01031
119.6125,26.1319,FZ,FJS0103
119.8487,25.9096,FZ,FJS0104
119.6169,25.7294,FZ,FJS0105
119.6819,25.2619,PT,FJD02002
119.7167,25.0667,PT,FJD02008
119.4911,25.0086,PT,FJS0307
119.8661,25.5111,ND,FJD01007
120.0419,25.3169,ND,FJD01020
119.8681,25.5781,ND,FJS0115
119.8425,25.5108,ND,FJS0116
119.4169,25.4336,FZ,FJD01019
119.3711,25.49,FZ,FJD01024
119.3211,25.3861,FZ,FJD01026
119.3981,25.3669,FZ,FJD02001
119.4764,25.3961,FZ,FJS0109
119.4543,25.3717,FZ,FJS0110
119.5136,25.355,FZ,FJS0111
119.3442,25.006,PT,FJD02005
119.3667,24.7,PT,FJD02009
119.305,25.3383,PT,FJD02010
119.2169,25.3828,PT,FJD02011
119.232,25.4325,PT,FJD02013
119.23,25.3594,PT,FJS0302
119.2728,24.9197,PT,FJS0308
119.1758,25.4022,PT,FJS0309
120.25,26.9444,ND,FJD10015
120.2611,27.2681,ND,FJD10027
120.3134,27.2232,ND,FJD10028
120.2869,27.2411,ND,FJD10029
120.394,27.1735,ND,FJS0901
120.2414,26.9242,ND,FJS0905
120.1264,26.9085,ND,FJS0906
120.3472,27.0794,ND,FJS0902
120.2075,26.9753,ND,FJS0903
119.7258,26.3869,FZ,FJD01011
119.7743,26.3886,FZ,FJD01012
119.7522,26.2719,FZ,FJD01013
119.6461,26.4711,FZ,FJD01021
119.8,26.4169,FZ,FJD01022
119.7283,26.25,FZ,FJS0119
119.4789,25.6619,FZ,FJS0106
119.7161,25.6267,ND,FJS0114
118.2256,24.3267,XM,FJS0203
118.031,24.427,XM,FJS0206
117.9657,24.1503,ZZ,FJD05006
117.7083,23.9361,ZZ,FJD05007
117.7171,23.9761,ZZ,FJD05019
118.08,24.2467,ZZ,FJD05024
118.0861,24.3713,ZZ,FJD05028
117.9636,24.1611,ZZ,FJS0606
117.2833,23.6033,ZZ,FJD05004
117.3217,23.6914,ZZ,FJD05010
117.3131,23.6489,ZZ,FJD05015
117.2347,23.6524,ZZ,FJD05020
117.9414,24.4272,ZZ,FJS0601
117.88,24.4314,ZZ,FJS0603
117.2661,23.6189,ZZ,FJS0618
117.228,23.6019,ZZ,FJS0619
118.075,24.5525,XM,FJD04008
118.0917,24.4133,XM,FJD04010
118.1639,24.6067,XM,FJD04014
118.1622,24.5758,XM,FJS0201
117.53,23.8056,ZZ,FJD05003
117.5231,23.8839,ZZ,FJD05012
117.5789,23.8281,ZZ,FJD05013
117.4431,23.7519,ZZ,FJD05014
117.4441,23.9243,ZZ,FJS0609
117.4956,23.7969,ZZ,FJS0612
117.5108,23.7692,ZZ,FJS0613
118.3492,24.5192,XM,FJD03020
118.3055,24.5111,XM,FJD04005
118.385,24.545,XM,FJD04015
118.3917,24.5383,XM,FJS0202
118.2808,24.5036,XM,FJS0205
118.9833,25.2,QZ,FJD03009
118.75,24.8333,QZ,FJD03012
118.9589,25.0911,QZ,FJD03016
118.9667,25.1333,QZ,FJD03021
118.9708,25.2036,QZ,FJS0501
118.9486,24.9292,QZ,FJS0503
118.8069,24.8617,QZ,FJS0505
119.6669,26.7236,ND,FJD10004
119.7819,26.6569,ND,FJD10006
119.725,26.7575,ND,FJD10018
119.7567,26.7181,ND,FJD10019
119.6544,26.6303,ND,FJD10022
119.685,26.8239,ND,FJD10030
119.6089,26.7519,ND,FJD10031
119.6769,26.8561,ND,FJS0907
119.7778,26.7605,ND,FJS0909
119.6939,26.7578,ND,FJS0910
119.7647,26.7342,ND,FJS0911
119.7611,26.6844,ND,FJS0912
119.6353,26.7003,ND,FJS0913
119.8144,26.6664,ND,FJS0915
119.5758,26.6458,ND,FJS0916
119.5417,25.6583,FZ,FJD01006
119.5739,25.6811,FZ,FJD01027
118.66,24.83,QZ,FJD03001
118.6756,24.5869,QZ,FJD03004
118.7842,24.7639,QZ,FJD03014
118.6869,24.8731,QZ,FJD03018
119.6333,25.6,ND,FJD01017
119.5869,25.6219,ND,FJD01028
119.9561,26.7069,ND,FJD10005
119.9833,26.7611,ND,FJD10017
119.87,26.6272,ND,FJD10023
119.8167,26.5836,ND,FJD10024
119.8264,26.6184,ND,FJS0914
119.9408,26.6244,ND,FJS0917
119.7519,26.5986,ND,FJS0918
119.2097,25.429,PT,FJS0301
118.5183,24.5467,QZ,FJD03005
118.4331,24.5611,QZ,FJD03008
118.4417,24.6597,QZ,FJS0509
118.3998,24.5877,QZ,FJS0512
118.5897,24.52,QZ,FJS0514
118.5389,24.5836,QZ,FJS0515
